A New Heart,33.43778; -117.62028,hcfusa@gmail.com
Dixon's Independent Voice,38.44917; -121.82694,staff@independentvoice.com
Dynamic Chiropractic,33.74083; -117.88139,editorial@mpamedia.com
East Bay Times,37.90639; -122.06500,ccnnewsrelease@bayareanewsgroup.com
East Bay Times Online,37.90639; -122.06500,ccnnewsrelease@bayareanewsgroup.com
East County Gazette,32.79833; -116.96000,gazettenews@sbcglobal.net
Econews,40.86639; -124.08278,nec@yournec.org
Edutopia,37.97361; -122.53111,community@edutopia.org
El Chicano,34.07389; -117.31361,iecn1@mac.com
El Clasificado,33.90694; -118.08333,elclasificado@elclasificado.com
El Clasificado Online,33.90694; -118.08333,elclasificado@elclasificado.com
El Hispano,38.55556; -121.46889,blarenas2@yahoo.com
El Informador del Valle,33.72056; -116.21556,elinformads@yahoo.com
El Latino San Diego,32.71500; -117.16250,editor@ellatino.net
El Latino San Diego Online,32.71500; -117.16250,editor@ellatino.net
El Mojave,34.53611; -117.29111,victorville@tempemail.com
El Mundo,37.80444; -122.27083,info@postnewsgroup.com
El Observador,37.333; -121.900,sanjose@tempemail.com
El Observador Online,37.333; -121.900,sanjose@tempemail.com
Elk Grove Citizen,38.43833; -121.38194,egnews@herburger.net
Embarcadero Publishing - Palo Alto,37.42917; -122.13806,editor@paweekly.com
Embarcadero Publishing - Palo Alto Online,37.42917; -122.13806,editor@paweekly.com
Environmental Times,33.83028; -116.54528,info@eaa-assoc.org
Erosion Control Online,34.42583; -119.71417,eceditor@forester.net
Escalon Times,37.76917; -120.85694,ads@oakdaleleader.com
Ferndale Enterprise,40.5767; -124.2633,editor@ferndaleenterprise.us
Fibromyalgia Aware,33.61667; -117.89750,mailbox@fmaware.org
Filipino Press,32.67806; -117.09917,filpress@aol.com
Fillmore Gazette,34.40139; -118.91778,info@thefillmoregazette.com
Firebaugh-Mendota Journal,36.72361; -120.06000,kerwest@msn.com
Five Cities Times Press-Recorder Publishing,35.12083; -120.58667,arroyogrande@tempemail.com
Fontana Herald News,34.100; -117.467,fontana@tempemail.com
Fontana Herald News Online,34.100; -117.467,fontana@tempemail.com
Food,32.71500; -117.16250,sandiego@tempemail.com
Food & Drink,33.83028; -116.54528,localnews@thedesertsun.com
Food & Wine,38.44861; -122.70472,santarosa@tempemail.com
Franchise Update,37.333; -121.900,sanjose@tempemail.com
Fullerton Observer,33.88000; -117.92861,observernews@earthlink.net
German World,34.050; -118.250,office@german-world.com
Giant Robot,34.050; -118.250,mail@giantrobot.com
Glendora Community News,34.13611; -117.86528,glencomnews@yahoo.com
Glendora/San Dimas/La Verne Highlander,34.09167; -117.87917,news.tribune@sgvn.com
Gonzales Tribune,36.21278; -121.12611,editor@southcountynewspapers.com
Green Sheet,38.34722; -122.69528,greensheet@greensheet.com
Greenfield News,36.21278; -121.12611,editor@southcountynewspapers.com
Gringo Gazette,33.72222; -116.37444,palmdesert@tempemail.com
HPRA: Hispanic Public Relations Association,34.050; -118.250,info@hpra-usa.org
Half Moon Bay Review,37.45889; -122.43694,halfmoonbay@tempemail.com
Half Moon Bay Review Online,37.45889; -122.43694,halfmoonbay@tempemail.com
Healdsburg Tribune,38.61750; -122.86639,news@sonomawest.com
Health Freedom News,34.1459111; -118.0009500,contact-us@thenhf.com
Health Freedom News Online,34.1459111; -118.0009500,contact-us@thenhf.com
Health Matters,36.600; -121.900,healthmatters@montereyherald.com
Hellenic Journal,37.90639; -122.06500,info@hellenicjournal.org
Hesperia Star,34.41278; -117.30611,editor@hesperiastar.com
Hesperia Star Online,34.41278; -117.30611,editor@hesperiastar.com
High Rise Facilities,33.12194; -117.29694,carlsbad@tempemail.com
Hispano Times,37.80278; -121.22083,info@hispanotimes.us
Hispanos Unidos,33.12472; -117.08083,info@hispanosnews.com
Home & Garden,38.44861; -122.70472,santarosa@tempemail.com
HopeKeepers,32.71500; -117.16250,rest@restministries.org
HowToLearn.com,38.44861; -122.70472,santarosa@tempemail.com
Hugh Hewitt,33.92333; -117.88889,hugh@hughhewitt.com
Hullabaloo,34.02194; -118.48139,digby@writeme.com
Humor Times,38.55556; -121.46889,info@humortimes.com
ICFE Newsletter,32.71500; -117.16250,icfe@twc.com
IE Voice,33.94806; -117.39611,riverside@tempemail.com
II stix Magazine,37.70222; -121.93583,dublin@tempemail.com
Imperial Valley Press,32.800; -115.567,elcentro@tempemail.com
Imperial Valley Press Online,32.800; -115.567,elcentro@tempemail.com
In Motion Magazine,32.71500; -117.16250,publish@inmotionmagazine.com
India Post,37.54833; -121.98861,fremont@tempemail.com
Inglewood Today,33.95750; -118.34611,willie@inglewoodtoday.com
Inland Empire Community Newspapers,34.07389; -117.31361,iecn1@mac.com
Intercepts,38.43833; -121.38194,mike@eiaonline.com
Internet for Lawyers,34.00778; -118.40083,info@netforlawyers.com
KABC-AM Online,34.050; -118.250,kabcpress@gmail.com
KDFC-FM Online,37.783; -122.417,webmaster@kdfc.com
KEYT-TV Online,34.42583; -119.71417,assignmentdesk@keyt.com
KFMB-AM Online,32.71500; -117.16250,webmaster@kfmb.com
KFSH-FM Online,34.14611; -118.25500,marissa@thefishla.com
KKJZ-FM Online,34.050; -118.250,losangeles@tempemail.com
KKLA-FM Online,34.14611; -118.25500,webmaster@kkla.com
KLLY-FM Online,35.367; -119.017,bakersfield@tempemail.com
KNZR-AM Online,35.367; -119.017,bakersfield@tempemail.com
KRLA-AM Online,34.14611; -118.25500,info@krla870.com
KRON-TV Online,37.783; -122.417,assignmentdesk@kron.com
KSRO-AM Online,38.44861; -122.70472,santarosa@tempemail.com
KUSI-TV Online,32.71500; -117.16250,news@kusi.com
Kerman News,36.72361; -120.06000,kerwest@msn.com
Khmer Post Online,33.76833; -118.19556,longbeach@tempemail.com
King City Rustler,36.21278; -121.12611,editor@southcountynewspapers.com
L' Italo Americano,34.1459111; -118.0009500,info.italoamericano@gmail.com
L' Italo Americano Online,34.1459111; -118.0009500,info.italoamericano@gmail.com
LAAHU Times,36.750; -119.767,info@laahu.org
La Canada Flintridge,34.207721; -118.206979,outlooknews@outlooknewspapers.com
La Canada Flintridge Outlook Weeklies,34.207721; -118.206979,outlooknews@outlooknewspapers.com
La Mirada Lamplighter,33.86722; -118.08056,lmlamplighter@gmail.com
La Nueva Voz,34.06083; -117.75583,pomona@tempemail.com
La Opinión,34.050; -118.250,laopinion@impremedia.com
La Prensa Hispana-L.A.,34.14611; -118.25500,laprensahispana@aol.com
La Puente Highlander,34.09167; -117.87917,news.tribune@sgvn.com
La Vibra,34.050; -118.250,laopinion@impremedia.com
La Voz Bilingual Newspaper,38.44861; -122.70472,info@lavoz.us.com
Laguna Woods Globe,33.59972; -117.69944,lagunahills@tempemail.com
Lake County Record-Bee,39.04306; -122.91583,rbcommunitydesk@gmail.com
Lake County Record-Bee Online,39.04306; -122.91583,rbcommunitydesk@gmail.com
Lake Tahoe News,38.94000; -119.97694,info@laketahoenews.net
Lakewood Community News,33.84750; -118.12000,info@lakewoodchamber.com
Lamont Reporter,35.50056; -119.27167,lamontreporter@earthlink.net
Lamorinda Sun,37.90639; -122.06500,ccsun@bayareanewsgroup.com
Latin American Perspectives,33.94806; -117.39611,laps@ucr.edu
Latin Heat,34.05667; -117.91861,ads@latinheat.com
Latin Heat Online,34.05667; -117.91861,ads@latinheat.com
Latinopia,34.050; -118.250,losangeles@tempemail.com
Latinos Corriendo,37.333; -121.900,fortiusmedia@gmail.com
Lee Newspapers,36.57083; -119.61194,selma@tempemail.com
Life Enhancement Products,38.24583; -122.63139,info@life-enhancement.com
LifeStyle,38.44861; -122.70472,santarosa@tempemail.com
Lodi News-Sentinel,38.12889; -121.28083,news@lodinews.com
Lodi News-Sentinel Online,38.12889; -121.28083,news@lodinews.com
Long Beach Navy Dispatch,32.71500; -117.16250,editor@navydispatch.com
Long Beach Press-Telegram Online,33.76833; -118.19556,ptnews@presstelegram.com
Loomis News,38.81639; -121.19278,loomis@tempemail.com
Los Angeles Bay News Observer - Valley Edition,35.367; -119.017,observernews@gmail.com
Los Angeles News Observer - Inglewood,35.367; -119.017,observernews@gmail.com
M Magazine,37.13056; -121.65444,editor@mmagazinebayarea.com
Madera Tribune Online,36.96139; -120.06083,madera@tempemail.com
Malibu Surfside News,34.03; -118.75,editor@malibusurfsidenews.com
Malibu Surfside News Online,34.03; -118.75,editor@malibusurfsidenews.com
Malibu Times,34.03; -118.75,webeditor@malibutimes.com
Malibu Times Online,34.03; -118.75,webeditor@malibutimes.com
Mammoth Times,37.64861; -118.97194,editor@mammothtimes.com
Mammoth Times Online,37.64861; -118.97194,editor@mammothtimes.com
Manteca Bulletin,37.80278; -121.22083,news@mantecabulletin.com
Marin Post,37.80444; -122.27083,info@postnewsgroup.com
Marinscope Community Newspapers,38.10750; -122.56972,scope@marinscope.com
Mendota Journal,36.72361; -120.06000,kerwest@msn.com
Metropolitan News Company,34.050; -118.250,news@metnews.com
Metropolitan News-Enterprise,34.050; -118.250,news@metnews.com
Mexico Traveler,32.62778; -117.04806,chulavista@tempemail.com
Mid Valley Publishing - Reedley,36.59639; -119.45028,reedley@tempemail.com
Miniondas,33.74083; -117.88139,editorial@miniondas.com
Mobilehome Parks Report,38.55556; -121.46889,mparksreport@tpkerr-inc.com
Modesto Bee Online,37.66139; -120.99444,webstaff@modbee.com
Modoc County Record,41.48722; -120.54250,record1@modocrecord.com
Mojave Desert News,35.12583; -117.98583,admin@desertnews.com
Mojave Desert News Online,35.12583; -117.98583,admin@desertnews.com
Money,35.367; -119.017,local@bakersfield.com
Monterey County Herald Online,36.600; -121.900,editors@montereyherald.com
Monterey Park Journal,34.04917; -118.13556,news@sgvjournal.com
Morgan Hill Times,37.01194; -121.58000,gilroy@tempemail.com
Mountain Democrat,38.72972; -120.79861,mtdemo@mtdemocrat.net
Mountain Democrat Online,38.72972; -120.79861,mtdemo@mtdemocrat.net
Mountain View Voice,37.42917; -122.13806,editor@mv-voice.com
Multi-Unit Franchise,37.333; -121.900,sanjose@tempemail.com
NAPAbroadcasting.com,38.30472; -122.29889,info@napabroadcasting.com
Nail It! Online,33.76833; -118.19556,nailit@creativeage.com
News from Native California,37.87167; -122.27278,nnc@heydaybooks.com
News-Enterprise,33.80222; -118.06444,office@newsenterprise.net
NewsInc.,37.62278; -122.48556,admin@colegroup.com
Nichi Bei Weekly,37.783; -122.417,news@nichibeiweekly.org
Nichi Bei Weekly Online,37.783; -122.417,news@nichibeiweekly.org
NikkeiWest,38.55556; -121.46889,editor@nikkeiwest.com
Noe Valley Voice Online,37.783; -122.417,editor@noevalleyvoice.com
Not Born Yesterday,33.92333; -117.88889,nbynews@juno.com
Noticiero Semanal,36.06861; -119.02750,recorder@portervillerecorder.com
Oakdale Leader,37.76917; -120.85694,ads@oakdaleleader.com
Oakdale Leader Online,37.76917; -120.85694,ads@oakdaleleader.com
Oakland Post,37.80444; -122.27083,info@postnewsgroup.com
Opinión Online,34.050; -118.250,laopinion@impremedia.com
Orange County Lawyer,33.61667; -117.89750,info@ocbar.org
Outdoor California,38.55556; -121.46889,publications@dfg.ca.gov
Pacifica Tribune,37.62278; -122.48556,pacifica@tempemail.com
Pakistan Link,33.83611; -117.88972,editor@pakistanlink.com
Palo Alto Weekly,37.42917; -122.13806,editor@paweekly.com
Palo Verde Valley & Quartzsite Times,33.61028; -114.59639,editor2@pvvt.com
Palo Verde Valley Times,33.61028; -114.59639,editor2@pvvt.com
Paradise Post,39.75972; -121.62139,newsroom@paradisepost.com
Pasadena Outlook,34.207721; -118.206979,outlooknews@outlooknewspapers.com
Paso Robles Gazette,35.64083; -120.65389,pasorobles@tempemail.com
Paso Robles Newspapers Inc.,35.64083; -120.65389,pasorobles@tempemail.com
Paso Robles Press,35.64083; -120.65389,pasorobles@tempemail.com
Payam-E-Ashena (Persian Community Journal),33.66944; -117.82306,payam@ashena.com
Peninsula People,33.86639; -118.39972,penpeople@easyreader.info
Perris Progress and City News,33.79667; -117.22444,lmsentinel@aol.com
Petaluma Argus-Courier Online,38.24583; -122.63139,petaluma@tempemail.com
Political Empire - The Press-Enterprise,33.94806; -117.39611,riverside@tempemail.com
Polling Report,34.42583; -119.71417,editor@pollingreport.com
Porterville Recorder,36.06861; -119.02750,recorder@portervillerecorder.com
Post News Group,37.80444; -122.27083,info@postnewsgroup.com
Precious Times,33.66500; -117.91222,precioustimesmag@aol.com
Quality Digest,39.74000; -121.83556,chico@tempemail.com
Quartzsite Times,33.61028; -114.59639,editor2@pvvt.com
RadioScope,34.050; -118.250,eurinfo@eurweb.com
Reading The Pictures,33.88889; -118.40528,manhattanbeach@tempemail.com
Real Estate,35.367; -119.017,local@bakersfield.com
Record Online,37.97556; -121.30083,newsroom@recordnet.com
Record Searchlight,40.583; -122.367,rrsedit@redding.com
Record Searchlight Online,40.583; -122.367,rrsedit@redding.com
Reedley Exponent,36.59639; -119.45028,reedley@tempemail.com
Review/Beacon Publishing,37.783; -122.417,editor@sfrichmondreview.com
Rialto Record,34.07389; -117.31361,iecn1@mac.com
Richmond Post,37.80444; -122.27083,info@postnewsgroup.com
River News-Herald & Isleton Journal,38.16389; -121.69583,rveditor@citlink.net
Riverbank News,37.76917; -120.85694,ads@oakdaleleader.com
RoofersCoffeeShop.com,33.888551; -117.813231,info@rooferscoffeeshop.com
Rossmoor News,37.90639; -122.06500,news@rossmoor.com
Rowland Heights Highlander,34.09167; -117.87917,news.tribune@sgvn.com
Sacramento Observer,38.55556; -121.46889,sacramento@tempemail.com
San Diego Reader Online,32.71500; -117.16250,info@sandiegoreader.com
San Diego Union-Tribune Online,32.71500; -117.16250,sosdnews@uniontrib.com
San Francisco Community Radio,37.783; -122.417,sanfrancisco@tempemail.com
San Francisco Post,37.80444; -122.27083,info@postnewsgroup.com
San Gabriel Valley Newspaper Group,34.09167; -117.87917,news.tribune@sgvn.com
San Rafael News Pointer,38.10750; -122.56972,scope@marinscope.com
Santa Barbara News-Press Online,34.42583; -119.71417,santabarbara@tempemail.com
Santa Maria Times Online,34.95139; -120.43333,santamaria@tempemail.com
Santa Monica Lookout,34.02194; -118.48139,mail@santamonicalookout.com
Santa Ynez Valley News,34.59389; -120.13972,solvang@tempemail.com
School Library Connection,34.42583; -119.71417,linworth@linworthpublishing.com
Selma Enterprise,36.57083; -119.61194,selma@tempemail.com
Shafter Press,35.50056; -119.27167,shafterpress@earthlink.net
Shasta Lake Bulletin,40.67806; -122.37000,slb@shasta.com
Show Weekend,33.74083; -117.88139,local@ocregister.com
Sierra Booster,39.67667; -120.24306,jbuck@psln.com
Sierra Sun,39.34222; -120.20361,editor@sierrasun.com
Siliconeer,37.54833; -121.98861,info@siliconeer.com
Siskiyou Daily News,41.72667; -122.63750,news@siskiyoudaily.com
Siskiyou Daily News Online,41.72667; -122.63750,news@siskiyoudaily.com
Soledad Bee,36.21278; -121.12611,editor@southcountynewspapers.com
Sonoma Index-Tribune,38.28889; -122.45889,info@sonomanews.com
Sonoma Index-Tribune Online,38.28889; -122.45889,info@sonomanews.com
South Bay Pipeline,33.83472; -118.34139,torrance@tempemail.com
South County Post,37.80444; -122.27083,info@postnewsgroup.com
Taft Midway Driller,35.14250; -119.45639,dkeeler@taftmidwaydriller.com
Taft Midway Driller Online,35.14250; -119.45639,dkeeler@taftmidwaydriller.com
Tahoe Mountain News,38.94000; -119.97694,tahoemountainnews@gmail.com
Teacher Education Quarterly,37.783; -122.417,caddogap@aol.com
Tehachapi News,35.13222; -118.44889,editorial@tehachapinews.com
The American News,34.53611; -117.29111,samerisam1@earthlink.net
The Ark,37.87361; -122.45667,editor@thearknewspaper.com
The Bakersfield Voice,35.367; -119.017,bakersfield@tempemail.com
The Beach Reporter,33.88889; -118.40528,beachreporter@gmail.com
The Black Biker,37.80444; -122.27083,tbbmag@sbcglobal.net
The Black Voice News,33.94806; -117.39611,info@blackvoicenews.com
The Black Voice News Online,33.94806; -117.39611,info@blackvoicenews.com
The Boulevard Sentinel,34.050; -118.250,boulevardsentinel@gmail.com
The Business Journal,36.750; -119.767,editor@thebusinessjournal.com
The California Educator,37.58333; -122.36361,editor@cta.org
The California Educator Online,37.58333; -122.36361,editor@cta.org
The Catalina Islander,33.34083; -118.32778,editor@catalinaislander.com
The Coast News,33.04444; -117.27167,news@coastnewsgroup.com
The Coast News - Inland Edition,33.04444; -117.27167,news@coastnewsgroup.com
The Coast News Group,33.04444; -117.27167,community@coastnewsgroup.com
The Coast News Online,33.04444; -117.27167,news@coastnewsgroup.com
The Community Voice,38.34722; -122.69528,news@thecommunityvoice.com
The Corcoran Journal,36.09806; -119.56028,corcoran@tempemail.com
The Daily Californian,37.87167; -122.27278,dailycalifornian@dailycal.org
The Daily Independent,35.62250; -117.67083,ridgecrest@tempemail.com
The Daily Independent Online,35.62250; -117.67083,ridgecrest@tempemail.com
The Daily Triplicate,41.75583; -124.20167,webmaster@triplicate.com
The Desert Sun,33.83028; -116.54528,localnews@thedesertsun.com
The Foothills Sun-Gazette,36.29417; -119.14278,news@thesungazette.com
The Galt Herald,38.26083; -121.30306,editor_galtherald@herburger.net
The Galt Herald Online,38.26083; -121.30306,editor_galtherald@herburger.net
The Gilroy Dispatch,37.01194; -121.58000,editor@garlic.com
The Grizzly & Life,34.24389; -116.91139,editor.grizzly@gmail.com
The Gustine Press-Standard,37.31500; -121.02250,newman@tempemail.com
The Hanford Sentinel,36.32750; -119.64556,features@hanfordsentinel.com
The Hanford Sentinel Online,36.32750; -119.64556,features@hanfordsentinel.com
The IPM Practitioner,37.87167; -122.27278,birc@igc.org
The Independent,37.68194; -121.76806,editmail@compuserve.com
The Journal Newspapers,34.04917; -118.13556,news@sgvjournal.com
The Life Connection,33.19361; -117.24111,lifeconnection@cox.net
The Lompoc Record,34.64611; -120.46028,lompoc@tempemail.com
The Los Angeles Turkish American Association,34.07306; -118.39944,info@laturks.org
The News-Ledger,38.58056; -121.53028,westsacramento@tempemail.com
The Observer Group Newspapers of Southern California,35.367; -119.017,observernews@gmail.com
The Orange County Register,33.74083; -117.88139,local@ocregister.com
The Orange County Register Online,33.74083; -117.88139,local@ocregister.com
The Peter B. Collins Show,37.90611; -122.54500,millvalley@tempemail.com
The Press Democrat,38.44861; -122.70472,santarosa@tempemail.com
The Press Democrat Online,38.44861; -122.70472,santarosa@tempemail.com
The Rancho Santa Fe News,33.04444; -117.27167,news@coastnewsgroup.com
The Record-Gazette,33.93167; -116.89750,editor@recordgazette.net
The Richmond Review,37.783; -122.417,editor@sfrichmondreview.com
The Sacramento Bee,38.55556; -121.46889,sacramento@tempemail.com
The Sacramento Bee Online,38.55556; -121.46889,sacramento@tempemail.com
The Sacramento Gazette,38.55556; -121.46889,sacgazette@aol.com
The San Diego Union-Tribune,32.71500; -117.16250,sandiego@tempemail.com
The San Diego Voice & Viewpoint,32.71500; -117.16250,news@sdvoice.info
The Santa Clara Weekly,37.35444; -121.96917,scweekly@ix.netcom.com
The Signal,34.41667; -118.50639,citydesk@signalscv.com
The Signal Online,34.41667; -118.50639,citydesk@signalscv.com
The Southern Cross,32.71500; -117.16250,socross@diocese-sdiego.org
The Sun Newspapers,33.75917; -118.08250,receptionist@sunnews.org
The Sunday Star,34.09167; -117.87917,news.tribune@sgvn.com
The Sunset Beacon,37.783; -122.417,editor@sfrichmondreview.com
The Tuesday Barter Report,33.61278; -117.65611,missionviejo@tempemail.com
The Weed Press,41.31444; -122.31139,news@mtshastanews.com
The Weekly Calistogan,38.58139; -122.58278,editor@weeklycalistogan.com
The West Side Index,37.31500; -121.02250,newman@tempemail.com
The Willits News,39.40972; -123.35556,editorial@willitsnews.com
The Windmill,34.00167; -117.82083,thewindmillmag@gmail.com
Ticket,38.44861; -122.70472,santarosa@tempemail.com
Tierra Times,32.71500; -117.16250,dspehn1@san.rr.com
Time Out,38.44861; -122.70472,santarosa@tempemail.com
Times Press Recorder,35.12083; -120.58667,arroyogrande@tempemail.com
Times-Standard Online,40.80194; -124.16361,editor@times-standard.com
Travel,33.83028; -116.54528,localnews@thedesertsun.com
Travel,35.367; -119.017,local@bakersfield.com
Tri-City Voice,37.54833; -121.98861,tricityvoice@aol.com
Tribune Online,35.27417; -120.66306,newsroom@thetribunenews.com
Tulare Advance-Register Online,36.20667; -119.34250,online@visaliatimesdelta.com
Turlock City News,37.50583; -120.84889,turlock@tempemail.com
Turlock Journal,37.50583; -120.84889,news@turlockjournal.com
Ukiah Daily Journal,39.15028; -123.20778,udj@ukiahdj.com
Ukiah Daily Journal Online,39.15028; -123.20778,udj@ukiahdj.com
Union Jack,32.77139; -117.02278,ujnews@ujnews.com
Ventura County Star,34.233; -119.033,news@vcstar.com
Ventura County Star Online,34.233; -119.033,news@vcstar.com
Vida Latina San Diego,32.71500; -117.16250,sandiego@tempemail.com
Visalia Times-Delta Online,36.317; -119.300,news@visaliatimesdelta.com
Vision,34.15611; -118.13194,info@vision.org
Vision Hispana,37.75611; -122.27444,contact@visionhispanausa.com
Walnut Creek Journal,37.90639; -122.06500,wcjournal@bayareanewsgroup.com
Walnut Highlander,34.09167; -117.87917,news.tribune@sgvn.com
Wasco Tribune,35.50056; -119.27167,wascotribune@earthlink.net
Weekend,33.83028; -116.54528,localnews@thedesertsun.com
West Covina Highlander,34.09167; -117.87917,news.tribune@sgvn.com
West Portal Monthly,37.783; -122.417,sftimes@mac.com
West Side Advance,36.72361; -120.06000,kerwest@msn.com
West Valley Journal,34.04917; -118.13556,wvjournal@aol.com
Western Birds,32.71500; -117.16250,birds@sdnhm.org
Western Outdoor News,33.43778; -117.62028,editors@wonews.com
Western States Weeklies Inc.,32.71500; -117.16250,editor@navydispatch.com
Westminster Journal,33.81833; -118.03917,info@wjweekly.com
Westside Observer,37.783; -122.417,editor@westsideobserver.com
Wheels,32.71500; -117.16250,sandiego@tempemail.com
Windsor Times,38.61750; -122.86639,news@sonomawest.com
Yountville Sun,38.40306; -122.36222,news@yountvillesun.com
Yucaipa/Calimesa News Mirror,34.03361; -117.04306,news@newsmirror.net
